SCHOOL NO.,ENGLISH CATEGORY,中文類別,ENGLISH NAME,中文名稱,ENGLISH ADDRESS,中文地址,LONGITUDE,經度,LATITUDE,緯度,EASTING,坐標東,NORTHING,坐標北,STUDENTS GENDER,就讀學生性別,SESSION,學校授課時間,DISTRICT,分區,FINANCE TYPE,資助種類,SCHOOL LEVEL,學校類型,TELEPHONE,聯絡電話,FAX NUMBER,傳真號碼,WEBSITE,網頁,RELIGION,宗教
114995000123,Aided Primary Schools,資助小學,SKH YUEN CHEN MAUN CHEN PRIMARY SCHOOL,聖公會阮鄭夢芹小學,ESTATE PRIMARY SCHOOL NO 2 KWONG FUK ESTATE TAI PO NEW TERRITORIES (INCLUDING COVERED PLAYGROUND),新界大埔廣福?,114-10-23,114-10-23,22-26-51,22-26-51,835887,835887,834217.7,834217.7,CO-ED,男女,WHOLE DAY,全日,TAI PO,大埔區,AIDED,資助,PRIMARY,小學,26589183,26589183,26506287,26506287,http://www.skhycmcps.edu.hk,http://www.skhycmcps.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
528986000123,Aided Primary Schools,資助小學,SAI KUNG SUNG TSUN CATH SCH (PRIMARY SECTION),西貢崇真天主教學校(小學部),BLOCKS F & G ANCILLARY BLOCK PO TUNG ROAD SAI KUNG NEW TERRITORIES (DD 221 LOT 1762),新界西貢普通道F座G座及附屬房舍(第221約第1762號地段),114-16-13,114-16-13,22-22-58,22-22-58,845884.3,845884.3,827063.8,827063.8,CO-ED,男女,WHOLE DAY,全日,SAI KUNG,西貢區,AIDED,資助,PRIMARY,小學,27922246,27922246,27926448,27926448,http://www.stcps.edu.hk,http://www.stcps.edu.hk,CATHOLICISM,天主教
560634000123,Aided Primary Schools,資助小學,CCC WANCHAI CHURCH KEI TO PS (KLN CITY),中華基督教會灣仔堂基道小學(九龍城),170 KAU PUI LUNG ROAD KOWLOON CITY KOWLOON,九龍九龍城靠背壟道170號,114-11-9,114-11-9,22-18-56,22-18-56,837202.9,837202.9,819624.5,819624.5,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,AIDED,資助,PRIMARY,小學,27147000,27147000,27147744,27147744,http://ktw.hkcampus.net,http://ktw.hkcampus.net,PROTESTANTISM / CHRISTIANITY,基督教
114987000123,Aided Primary Schools,資助小學,KCBC HAY NIEN (YAN PING) PRI SCH,九龍城浸信會禧年(恩平)小學,SUN CHUI ESTATE SHATIN NEW TERRITORIES,新界沙田新翠?,114-10-55,114-10-55,22-22-8,22-22-8,836804,836804,825520,825520,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,AIDED,資助,PRIMARY,小學,26053811,26053811,26949781,26949781,http://www.hnyp.edu.hk,http://www.hnyp.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
131806000123,Aided Primary Schools,資助小學,IU SHAN SCHOOL,耀山學校,24 GRAMPIAN ROAD KOWLOON,九龍嘉林邊道24號,114-11-12,114-11-12,22-19-48,22-19-48,837283,837283,821226,821226,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,AIDED,資助,PRIMARY,小學,23362115,23362115,23363144,23363144,http://www.iushan.edu.hk,http://www.iushan.edu.hk,BUDDHISM,佛教
115410000123,Aided Primary Schools,資助小學,KOWLOON CITY BAPTIST CH HAY NIEN PRI SCH,九龍城浸信會禧年小學,CHEVALIER GARDEN 3 HANG SHUN STREET MA ON SHAN SHATIN NEW TERRITORIES,新界沙田馬鞍山恆信街3號富安花園,114-13-21,114-13-21,22-24-19,22-24-19,840959.8,840959.8,829564.8,829564.8,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,AIDED,資助,PRIMARY,小學,26411213,26411213,26400688,26400688,http://www.haynien.edu.hk,http://www.haynien.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
113107000123,Aided Primary Schools,資助小學,TSUEN WAN CHIU CHOW PUBLIC SCHOOL,荃灣潮州公學,80 HOI PA STREET TSUEN WAN NEW TERRITORIES,新界荃灣海壩街80號,114-6-52,114-6-52,22-22-21,22-22-21,829841,829841,825917,825917,CO-ED,男女,WHOLE DAY,全日,TSUEN WAN,荃灣區,AIDED,資助,PRIMARY,小學,24905410,24905410,24904732,24904732,http://www.twccps.edu.hk/,http://www.twccps.edu.hk/,NOT APPLICABLE,不適用
529540000123,Aided Primary Schools,資助小學,PENTECOSTAL YU LEUNG FAT PRIMARY SCHOOL,五旬節于良發小學,16 FAI MING ROAD FANLING NEW TERRITORIES,新界粉嶺暉明路16號,114-8-19,114-8-19,22-28-54,22-28-54,832334,832334,838027,838027,CO-ED,男女,WHOLE DAY,全日,NORTH,北區,AIDED,資助,PRIMARY,小學,26795626,26795626,26765434,26765434,http://www.pylfps.edu.hk,http://www.pylfps.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
115010000123,Aided Primary Schools,資助小學,PLK CHAN YAT PRIMARY SCHOOL,保良局陳溢小學,ESTATE PRIMARY SCHOOL NO.2 CHEUNG HONG ESTATE TSING YI NEW TERRITORIES,新界青衣長康?第二小學,114-5-55,114-5-55,22-21-2,22-21-2,828214,828214,823497,823497,CO-ED,男女,WHOLE DAY,全日,KWAI TSING,葵青區,AIDED,資助,PRIMARY,小學,24976073,24976073,24354695,24354695,http://www.plkcy.edu.hk,http://www.plkcy.edu.hk,NOT APPLICABLE,不適用
512591000123,Aided Primary Schools,資助小學,LA SALLE PRIMARY SCHOOL,喇沙小學,1D LA SALLE ROAD KOWLOON,九龍喇沙利道1D號,114-10-53,114-10-53,22-19-39,22-19-39,836720.4,836720.4,820943.9,820943.9,BOYS,男,WHOLE DAY,全日,KOWLOON CITY,九龍城區,AIDED,資助,PRIMARY,小學,23362609,23362609,23363153,23363153,http://www.la-salle.edu.hk,http://www.la-salle.edu.hk,CATHOLICISM,天主教
113980000223,Aided Primary Schools,資助小學,SKH CHU OI PRIMARY SCHOOL,聖公會主愛小學,45 TUNG CHI STREET SHEK YAM KWAI CHUNG NEW TERRITORIES,新界葵涌石蔭童子街45號,114-8-23,114-8-23,22-22-15,22-22-15,832435,832435,825753,825753,CO-ED,男女,WHOLE DAY,全日,KWAI TSING,葵青區,AIDED,資助,PRIMARY,小學,24267424,24267424,24272233,24272233,http://www.chuoi.edu.hk,http://www.chuoi.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
543187000123,Aided Primary Schools,資助小學,BISHOP PASCHANG CATHOLIC SCHOOL,天主教柏德學校,6 WANG CHIU ROAD KOWLOON BAY KOWLOON,九龍九龍灣宏照道6號,114-12-28,114-12-28,22-19-43,22-19-43,839461.6,839461.6,821072.8,821072.8,CO-ED,男女,WHOLE DAY,全日,KWUN TONG,觀塘區,AIDED,資助,PRIMARY,小學,27993003,27993003,27990208,27990208,http://bpcs.edu.hk/,http://bpcs.edu.hk/,CATHOLICISM,天主教
512290000223,Aided Primary Schools,資助小學,CCC KEI CHUN PRIMARY SCHOOL,中華基督教會基真小學,11 WA LAI PATH KWAI CHUNG NEW TERRITORIES,新界葵涌華荔徑11號,114-8-12,114-8-12,22-20-32,22-20-32,832134,832134,822587,822587,CO-ED,男女,WHOLE DAY,全日,KWAI TSING,葵青區,AIDED,資助,PRIMARY,小學,27419907,27419907,27853732,27853732,http://www.keichun.edu.hk,http://www.keichun.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
115738000123,Aided Primary Schools,資助小學,CHIU YANG PRIMARY SCHOOL OF HONG KONG,香港潮陽小學,"TIN YIU ESTATE, PHASE III TIN SHUI WAI , YUEN LONG NEW TERRITORIES",新界元朗天水圍天耀?第三期,114-0-17,114-0-17,22-27-6,22-27-6,818554,818554,834706,834706,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,AIDED,資助,PRIMARY,小學,24463018,24463018,24486756,24486756,http://www.cyps.edu.hk,http://www.cyps.edu.hk,NOT APPLICABLE,不適用
542580000123,Aided Primary Schools,資助小學,HK INST OF EDU JOCKEY CLUB PRI SCH,香港教育學院賽馬會小學,10 LO PING ROAD TAI PO NEW TERRITORIES,新界大埔露屏路10號,114-11-40,114-11-40,22-28-11,22-28-11,838081,838081,836683,836683,CO-ED,男女,WHOLE DAY,全日,TAI PO,大埔區,AIDED,資助,PRIMARY,小學,29481122,29481122,29481121,29481121,http://www.iedjcps.edu.hk,http://www.iedjcps.edu.hk,NOT APPLICABLE,不適用
115606000123,Aided Primary Schools,資助小學,KING LAM CATHOLIC PRIMARY SCHOOL,景林天主教小學,ESTATE PRIMARY SCHOOL KING LAM ESTATE PHASE II AREA 23 TSEUNG KWAN O NEW TERRITORIES,新界將軍澳第23區景林?第2期屋?小學,114-15-37,114-15-37,22-19-13,22-19-13,844858.4,844858.4,820155.7,820155.7,CO-ED,男女,WHOLE DAY,全日,SAI KUNG,西貢區,AIDED,資助,PRIMARY,小學,27030499,27030499,27040977,27040977,http://www.klcps.edu.hk,http://www.klcps.edu.hk,CATHOLICISM,天主教
514632000123,Aided Primary Schools,資助小學,TW PUB HO CHUEN YIU MEM PRIMARY SCHOOL,荃灣公立何傳耀紀念小學,ESTATE PRIMARY SCHOOL NO 1 SHEK WAI KOK ESTATE TSUEN WAN NEW TERRITORIES,新界荃灣石圍角?屋?第一小學,114-7-32,114-7-32,22-22-31,22-22-31,830986,830986,826246,826246,CO-ED,男女,WHOLE DAY,全日,TSUEN WAN,荃灣區,AIDED,資助,PRIMARY,小學,24902047,24902047,24902331,24902331,http://www.twpsch.edu.hk,http://www.twpsch.edu.hk,NOT APPLICABLE,不適用
114766000123,Aided Primary Schools,資助小學,STFA WU SIU KUI MEMORIAL PRIMARY SCHOOL,順德聯誼總會胡少渠紀念小學,ESTATE PRIMARY SCHOOL NO 3 ON TING ESTATE TUEN MUN NEW TERRITORIES,新界屯門安定?屋?小學第三校舍,113-58-37,113-58-37,22-23-11,22-23-11,815690,815690,827478,827478,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,AIDED,資助,PRIMARY,小學,24503833,24503833,26183132,26183132,,,NOT APPLICABLE,不適用
511315000123,Aided Primary Schools,資助小學,BUI O PUBLIC SCHOOL,杯澳公立學校,"DD 316 LOT 2724 (PT) 2 LO UK VILLAGE PUI O, LANTAU ISLAND NEW TERRITORIES",新界大嶼山貝澳羅屋村2號第316約第2724號地段(部份)(儲物室包括在內),113-58-34,113-58-34,22-14-35,22-14-35,815581,815581,811599,811599,CO-ED,男女,WHOLE DAY,全日,ISLANDS,離島區,AIDED,資助,PRIMARY,小學,29841189,29841189,29842445,29842445,http://www.buiosch.edu.hk,http://www.buiosch.edu.hk,NOT APPLICABLE,不適用
536377000123,Aided Primary Schools,資助小學,KING'S COLL OLD BOYS' ASSN PRI SCH NO. 2,英皇書院同學會小學第二校,40 PO HING FONG SHEUNG WAN HONG KONG,香港上環普慶坊40號,114-8-52,114-8-52,22-17-2,22-17-2,833270,833270,816126,816126,CO-ED,男女,WHOLE DAY,全日,CENTRAL AND WESTERN,中西區,AIDED,資助,PRIMARY,小學,25477575,25477575,25473555,25473555,http://www.kcobaps2.edu.hk,http://www.kcobaps2.edu.hk,NOT APPLICABLE,不適用
516996000123,Aided Primary Schools,資助小學,YCH CHAN IU SENG PRIMARY SCHOOL,仁濟醫院陳耀星小學,YUK MING COURT TSEUNG KWAN O NEW TERRITORIES,新界將軍澳煜明苑,114-16-3,114-16-3,22-18-55,22-18-55,845613,845613,819601,819601,CO-ED,男女,WHOLE DAY,全日,SAI KUNG,西貢區,AIDED,資助,PRIMARY,小學,27061932,27061932,27064872,27064872,http://www.ychcisps.edu.hk,http://www.ychcisps.edu.hk,NOT APPLICABLE,不適用
115223000123,Aided Primary Schools,資助小學,YL LONG PING ESTATE TUNG KOON PRI SCH,元朗朗屏?東莞學校,ESTATE PRIMARY SCHOOL 1 LONG PING ESTATE YUEN LONG NEW TERRITORIES,新界元朗朗屏?,114-1-25,114-1-25,22-27-6,22-27-6,820491.9,820491.9,834697.3,834697.3,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,AIDED,資助,PRIMARY,小學,24762433,24762433,24747225,24747225,http://www.tkps.edu.hk,http://www.tkps.edu.hk,NOT APPLICABLE,不適用
540226000123,Aided Primary Schools,資助小學,C & M ALLIANCE CHUI CHAK LAM MEM SCHOOL,基督教宣道會徐澤林紀念小學,KIN TAK STREET YUEN LONG NEW TERRITORIES,新界元朗建德街,114-1-55,114-1-55,22-26-29,22-26-29,821338,821338,833548,833548,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,AIDED,資助,PRIMARY,小學,23813904,23813904,29443325,29443325,http://www.ccl.edu.hk,http://www.ccl.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
114316000123,Aided Primary Schools,資助小學,ELCHK KWAI SHING LUTHERAN PRI SCH,基督教香港信義會葵盛信義學校,ESTATE SCHOOL NO. 6 KWAI SHING ESTATE KWAI CHUNG NEW TERRITORIES,新界葵涌葵盛?屋?學校第六座校舍,114-7-35,114-7-35,22-21-46,22-21-46,831071,831071,824846,824846,CO-ED,男女,WHOLE DAY,全日,KWAI TSING,葵青區,AIDED,資助,PRIMARY,小學,24225180,24225180,24199470,24199470,http://www.kslps.edu.hk,http://www.kslps.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
115304000123,Aided Primary Schools,資助小學,PLK FONG WONG KAM CHUEN PRIMARY SCHOOL,保良局方王錦全小學,LEUNG KING ESTATE TUEN MUN NEW TERRITORIESANNEX BUILDING ESTATE PRIMARY SCHOOL NO 3 LEUNG KING ESTATE AREA 1 TUEN MUN N T,新界屯門良景?,113-57-44,113-57-44,22-24-24,22-24-24,814167.2,814167.2,829738.2,829738.2,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,AIDED,資助,PRIMARY,小學,24661882,24661882,24532395,24532395,http://www.plkfwkc.edu.hk/,http://www.plkfwkc.edu.hk/,NOT APPLICABLE,不適用
514500000123,Aided Primary Schools,資助小學,HK SZE YAP C&IA SAN WUI COMM SOCIETY SCH,香港四邑商工總會新會商會學校,21 TONG YAM STREET TAI HANG TUNG KOWLOON,九龍大坑東棠蔭街21號,114-10-13,114-10-13,22-19-51,22-19-51,835575,835575,821305,821305,CO-ED,男女,WHOLE DAY,全日,SHAM SHUI PO,深水?區,AIDED,資助,PRIMARY,小學,27779515,27779515,27761344,27761344,http://www.sycias.edu.hk,http://www.sycias.edu.hk,NOT APPLICABLE,不適用
134872000123,Aided Primary Schools,資助小學,"EMMANUEL PRIMARY SCHOOL, KOWLOON",九龍靈光小學,36-38 SHING TAK STREET MA TAU WAI KOWLOON,九龍九龍城馬頭圍盛德街36至38號,114-11-17,114-11-17,22-19-27,22-19-27,837409,837409,820565,820565,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,AIDED,資助,PRIMARY,小學,27111232,27111232,27141224,27141224,http://www.eps.edu.hk,http://www.eps.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
560430000123,Aided Primary Schools,資助小學,S.K.H. YAUTONG KEI HIN PRIMARY SCHOOL,聖公會油塘基顯小學,23 YAU TONG ROAD YAU TONG KOWLOON,九龍油塘油塘道23號,114-14-7,114-14-7,22-18-0,22-18-0,842289,842289,817903,817903,CO-ED,男女,WHOLE DAY,全日,KWUN TONG,觀塘區,AIDED,資助,PRIMARY,小學,27570322,27570322,27170029,27170029,http://www.skhykh.edu.hk,http://www.skhykh.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
113433000123,Aided Primary Schools,資助小學,HOLY FAMILY SCHOOL,聖家學校,1 SHING KA ROAD PENG CHAU NEW TERRITORIES,新界坪洲聖家路1號,114-2-21,114-2-21,22-16-55,22-16-55,822088.5,822088.5,815903.5,815903.5,CO-ED,男女,WHOLE DAY,全日,ISLANDS,離島區,AIDED,資助,PRIMARY,小學,29830359,29830359,29831247,29831247,http://www.holyfamily.edu.hk,http://www.holyfamily.edu.hk,CATHOLICISM,天主教
115118000123,Aided Primary Schools,資助小學,PLK CHEE JING YIN PRIMARY SCHOOL,保良局朱正賢小學,POK HONG ESTATE SHATIN NEW TERRITORIES,新界沙田博康?,114-11-46,114-11-46,22-22-34,22-22-34,838235,838235,826322,826322,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,AIDED,資助,PRIMARY,小學,26469181,26469181,26472056,26472056,http://www.plkcjy.edu.hk,http://www.plkcjy.edu.hk,NOT APPLICABLE,不適用
115762000123,Aided Primary Schools,資助小學,YCH CHOI HIN TO PRIMARY SCHOOL,仁濟醫院蔡衍濤小學,WAN TAU TONG ESTATE AREA 6 TAI PO NEW TERRITORIES,新界大埔第六區運頭塘?,114-9-59,114-9-59,22-26-29,22-26-29,835193,835193,833560,833560,CO-ED,男女,WHOLE DAY,全日,TAI PO,大埔區,AIDED,資助,PRIMARY,小學,26566116,26566116,26578298,26578298,http://www.ychchtps.edu.hk/,http://www.ychchtps.edu.hk/,NOT APPLICABLE,不適用
512214000223,Aided Primary Schools,資助小學,KA LING SCHOOL OF THE PRECIOUS BLOOD,寶血會嘉靈學校,280 HAI TAN STREET SHAMSHUIPO KOWLOON,九龍深水?海壇街280號,114-9-24,114-9-24,22-19-49,22-19-49,834185,834185,821236,821236,CO-ED,男女,WHOLE DAY,全日,SHAM SHUI PO,深水?區,AIDED,資助,PRIMARY,小學,23864542,23864542,27089924,27089924,http://www.kalingpb.edu.hk/,http://www.kalingpb.edu.hk/,CATHOLICISM,天主教
550450000123,Aided Primary Schools,資助小學,HHCKLA BUDDHIST WISDOM PRI SCH,香海正覺蓮社佛教正慧小學,6 CHING SHING ROAD SHEUNG SHUI NEW TERRITORIES,新界上水清城路6號,114-7-27,114-7-27,22-29-37,22-29-37,830838,830838,839349,839349,CO-ED,男女,WHOLE DAY,全日,NORTH,北區,AIDED,資助,PRIMARY,小學,26689088,26689088,26680278,26680278,http://www.wisdom.edu.hk,http://www.wisdom.edu.hk,BUDDHISM,佛教
